,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
405,20,18.191974595842957,19,22,31.23,81486.7612757732,11,518,65,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1619
406,32,25.0,28,21,24.25,62385.0,26,535,75,Team Liquid,44024.0,4.0,19.03002309468822,2651.0,2184
407,52,8.0,27,43,24.25,62447.0,25,531,84,Team Secret,54456.0,11.0,3.0,15519.0,2741
408,92,39.0,17,39,41.26,138632.0,42,1417,127,Tundra Esports,113781.0,20.0,37.0,33194.0,3546
409,36,23.0,43,41,41.26,89425.0,17,1116,103,Nigma Galaxy,68194.0,18.0,24.0,4289.0,2501
410,83,34.0,17,40,31.4,89277.0,40,785,106,Team Liquid,69705.0,14.0,21.0,11749.0,3418
411,31,31.0,40,36,31.4,69140.0,17,733,78,OG,46414.0,15.0,19.0,4356.0,2023
412,57,19.0,58,26,41.31,94922.0,22,876,106,OG,56523.0,18.0,24.0,6448.0,2550
413,134,16.0,22,47,41.31,136179.0,58,1044,127,Team Liquid,89039.0,19.0,22.0,22328.0,3588
414,64,10.0,24,57,42.7,127763.0,27,1088,113,Nigma Galaxy,93395.0,17.0,16.0,21756.0,2849
415,63,25.0,27,20,42.7,166094.0,23,1061,105,Team Liquid,63630.0,20.0,31.0,265.0,2489
416,66,12.0,40,25,39.2,119600.0,29,990,110,Fnatic,68654.0,18.0,33.0,1910.0,2975
417,109,19.0,30,35,39.2,124951.0,40,850,116,Nigma Galaxy,77082.0,18.0,34.0,27916.0,3222
418,34,6.0,28,57,28.5,62357.0,15,472,74,Team Liquid,41249.0,12.0,5.0,2575.0,1784
419,73,6.0,15,35,28.5,82794.0,28,544,87,PSG.LGD,58515.0,12.0,8.0,15936.0,2388
420,15,15.0,38,32,22.45,32630.0,8,465,61,OG,32861.0,11.0,20.0,455.0,1842
421,65,33.0,8,55,22.45,62037.0,37,548,81,BOOM Esports,48806.0,10.0,20.0,11924.0,2947
422,49,18.191974595842957,13,34,27.5,81486.7612757732,24,562,76,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2318
423,18,18.191974595842957,25,19,27.5,81486.7612757732,13,456,62,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1636
424,69,22.0,13,60,34.55,100063.0,28,1077,105,Team Aster,75946.0,17.0,23.0,11780.0,2963
425,27,23.0,28,44,34.55,60557.0,13,695,78,PSG.LGD,47386.0,17.0,26.0,3742.0,1826
426,62,15.0,19,32,38.17,93392.0,25,1207,110,Royal Never Give Up,87456.0,19.0,31.0,19633.0,2991
427,38,17.0,26,63,38.17,58935.0,19,1103,100,Team Aster,79500.0,18.0,31.0,9095.0,2542
428,122,25.0,37,91,78.5,263983.0,52,1936,125,Team Liquid,155705.0,35.0,62.0,16082.0,2738
429,83,28.0,53,50,78.5,245585.0,34,2083,125,Royal Never Give Up,151234.0,36.0,65.0,11685.0,3011
430,48,21.0,12,54,27.48,51197.0,20,721,87,Royal Never Give Up,50490.0,14.0,21.0,2518.0,2644
431,24,17.0,20,41,27.48,48244.0,12,705,75,PSG.LGD,42160.0,14.0,21.0,4471.0,2031
432,25,18.191974595842957,2,37,18.54,81486.7612757732,16,350,56,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2033
433,6,18.191974595842957,16,33,18.54,81486.7612757732,2,244,41,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1107
434,53,46.0,29,33,35.31,57103.0,19,780,91,Team Secret,53130.0,15.0,15.0,4401.0,2330
435,79,45.0,19,36,35.31,82619.0,28,989,105,Team Liquid,69411.0,16.0,22.0,19075.0,2974
436,30,18.191974595842957,24,36,28.48,81486.7612757732,11,437,62,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1555
437,66,18.191974595842957,11,46,28.48,81486.7612757732,24,478,71,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2069
438,95,4.0,11,85,40.55,126595.0,45,965,115,Team Secret,91957.0,19.0,25.0,25270.0,2918
439,26,13.0,49,26,40.55,86255.0,11,937,89,OG,49606.0,20.0,17.0,2177.0,1840
440,45,20.0,31,41,30.8,61018.0,20,519,79,Team Spirit,36537.0,14.0,16.0,1503.0,2122
441,53,8.0,21,43,30.8,85499.0,31,838,94,Team Secret,60241.0,15.0,10.0,2708.0,2901
442,99,35.0,24,38,49.24,105489.0,48,1166,119,Team Secret,100830.0,19.0,19.0,13738.0,2831
443,56,9.0,49,49,49.24,89021.0,24,1094,102,Fnatic,62494.0,22.0,33.0,2811.0,2114
444,34,18.191974595842957,14,55,33.12,31267.0,18,727,78,Team Secret,56393.0,13.504618937644342,19.03002309468822,3842.0,2013
445,31,18.191974595842957,18,23,33.12,36162.0,14,589,66,PSG.LGD,42716.0,13.504618937644342,19.03002309468822,1700.0,1564
446,87,18.191974595842957,15,68,44.38,139010.0,35,1184,120,Team Secret,98066.0,13.504618937644342,19.03002309468822,26611.0,2994
447,43,18.191974595842957,35,40,44.38,94482.0,14,1170,103,Team Liquid,62256.0,13.504618937644342,19.03002309468822,3376.0,2388
448,140,14.0,41,42,71.3,259175.0,47,1645,141,Team Liquid,131953.0,31.0,46.0,25178.0,3095
449,112,14.0,48,47,71.3,269673.0,39,1931,141,Nigma Galaxy,138443.0,33.0,48.0,25418.0,2841
450,74,29.0,17,50,32.13,78564.0,34,753,94,Team Liquid,67882.0,15.0,22.0,23564.0,2756
451,35,13.0,34,28,32.13,50375.0,15,603,71,Nigma Galaxy,40265.0,11.0,21.0,5038.0,1701
452,16,30.0,17,30,23.12,42191.0,8,512,61,Royal Never Give Up,31169.0,10.0,14.0,527.0,1821
453,43,10.0,9,61,23.12,50924.0,17,619,75,PSG.LGD,44550.0,12.0,18.0,10488.0,2532
454,84,3.0,17,49,40.39,81486.7612757732,44,827,110,Evil Geniuses,80303.0,19.0,29.0,9776.290127020786,2657
455,31,25.0,44,33,40.39,81486.7612757732,17,836,86,Fnatic,52915.0,20.0,27.0,9776.290127020786,1738
456,38,19.0,31,63,34.21,69495.0,14,663,80,Evil Geniuses,44500.0,15.0,22.0,579.0,1849
457,82,17.0,14,32,34.21,88738.0,30,740,97,Fnatic,62643.0,16.0,17.0,14686.0,2521
458,28,49.0,27,42,36.21,63056.0,12,988,93,OG,61427.0,17.0,29.0,3279.0,2382
459,66,66.0,12,43,36.21,96877.0,26,970,105,Fnatic,81299.0,18.0,31.0,27343.0,2993
460,64,2.0,16,35,26.4,54339.0,30,598,90,Team Liquid,57789.0,12.0,9.0,13825.0,2734
461,22,1.0,31,59,26.4,47434.0,16,747,70,PSG.LGD,36575.0,13.0,21.0,5280.0,1806
462,45,7.0,29,37,26.12,48349.0,16,436,65,Team Aster,35877.0,12.0,14.0,2343.0,1802
